,Unnamed: 0,pred_pIC50,MW,LogP,NumHDonors,NumHAcceptors,1,0,IC50
11134,11134,7.858373617850514,432.4330000000001,2.4815000000000005,3.0,7.0,LTS0036550,CC(C)/C=C1\N=C(O)[C@H](C(C)(C)OC(=O)CNC(=O)c2ccc([N+](=O)[O-])cc2)N=C1O,1.3855633340258109e-08
5025,5025,7.333419586741841,785.98,8.10420000000001,5.0,11.0,LTS0241886,CCCCCCCCCCCCC[C@@H](OC(=O)[C@@H](CCCCN(O)C(C)=O)N=C(O)c1coc(-c2ccccc2O)n1)[C@@H](C)C(O)=N[C@H]1CCCCN(O)C1=O,4.6406670786264726e-08
3554,3554,7.226358834830274,1826.227,10.372800000000003,20.0,25.0,LTS0261164,C=C1N=C(O)C2N=C(O)C(CC(C)C)N=C(O)C(N=C(O)C3CSC(C)C(N=C(O)C(Cc4ccccc4)N=C(O)C4N=C(O)C(N)CSC4C)C(O)=NC(CC(C)C)C(=O)N4CCCC4C(O)=NCC(O)=NCC(O)=NCC(O)=NCC(O)=NC(C(C)C)C(O)=N3)C(C)SCC(N=C(O)C(CCC(=O)O)N=C1O)C(O)=NC(C(C)CC)C(O)=N/C=C\SC2C,5.9380132886935024e-08
8867,8867,7.200320430062649,1331.5189999999998,2.987439999999993,19.0,18.0,LTS0104057,CO[C@@H](Cc1ccccc1)[C@@H](C)/C=C(C)/C=C/[C@@H]1N=C(O)[C@H](CCCNC(=N)N)N=C(O)C[C@H](C(=O)O)N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@@H](C)N=C(O)C(CSC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)N(C)C(=O)CC[C@H](C(=O)O)N=C(O)[C@H]1C,6.30491984815126e-08
6416,6416,6.928108584699555,937.0899999999998,4.918400000000007,9.0,14.0,LTS0094067,CCC(C)[C@@H]1N=C(O)[C@H](C)N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)[C@H](O)CN=CO)C(C)CC)CN=C(O)[C@H](Cc2cn(C)c3ccccc23)N=C(O)/C=C/c2csc(n2)[C@H](COC)NC(=O)C1=O,1.1800255622716929e-07
5371,5371,6.9194873740873,441.56800000000027,5.273000000000006,2.0,6.0,LTS0264636,CCC(C)CC(C)/C=C(C)/C=C/C=C/C(=O)c1c(O)c(C23CCC(CC2)O3)cn(O)c1=O,1.2036843830818506e-07
3762,3762,6.905655654037193,585.7680000000003,4.097070000000003,6.0,8.0,LTS0109041,CCCCCC(CC(=N)O)C(=O)N1NCCCC1C(O)=NC(C(=O)CCSCC(N=C(C)O)C(=O)O)C(C)CC,1.242637186572677e-07
9743,9743,6.892461362679004,1637.8770000000004,8.417300000000013,18.0,31.0,LTS0256064,C=C(N=C(O)C(=C)N=C(O)c1csc([C@H]2CC[C@]34N=C(O)C(=C)N=C(O)C(=C)N=C(O)C(=C)N=C(O)[C@H](C)N[C@@H]5C=Cc6c([C@H](C)O)cc(nc6[C@H]5O)C(=O)O[C@@H](C)[C@H](N=C(S)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)N=C(O)[C@@H]5CSC(=N5)/C(=C\C)N=C(O)[C@H]([C@@H](C)O)N=C(O)c5csc3n5)c3nc(cs3)[C@H]4N2)n1)C(=O)O,1.2809690518002278e-07
7920,7920,6.889431447674449,1038.236,4.591870000000014,15.0,16.0,LTS0049914,CCC(C)C(C=O)N=C(O)C(C)N=C(O)C(N=C(O)C(C)N=C(O)CN=C(O)C(CCSC)N=C(O)C(CCC(=N)O)N=C(O)C(CC(C)C)N=C(O)C(CO)N=C(O)C(N)Cc1ccc(O)cc1)C(C)O,1.2899371552659122e-07
14904,14904,6.8051787201901615,609.7520000000001,1.5802999999999998,3.0,11.0,LTS0268793,COC(=O)C(CSC)N(C)C(=O)C1CSSCC(NC(=O)c2nc3ccccc3cc2O)C(O)=NCC(=O)N1C,1.5661064557874448e-07
